Word,Conc.M,Dom_Pos
roadsweeper,4.85,0
traindriver,4.54,0
tush,4.45,0
hairdress,3.93,0
pharmaceutics,3.77,0
hoover,3.76,0
shopkeeping,3.18,0
pushiness,2.48,0
underdevelop,2.37,0
tirelessness,2.28,0
oldfashioned,2.26,0
wellmannered,2.25,0
dismissiveness,1.83,0
spitefulness,1.8,0
untruthfulness,1.73,0
dispiritedness,1.56,0
sled,5,Adjective
plunger,4.96,Adjective
human,4.93,Adjective
waterbed,4.93,Adjective
cymbal,4.92,Adjective
ginger,4.92,Adjective
bobsled,4.9,Adjective
cardboard,4.9,Adjective
olive,4.9,Adjective
dogsled,4.89,Adjective
rubber,4.86,Adjective
soybean,4.82,Adjective
tangerine,4.81,Adjective
headrest,4.8,Adjective
eucalyptus,4.77,Adjective
saltwater,4.77,Adjective
armrest,4.76,Adjective
paramedic,4.74,Adjective
liquid,4.72,Adjective
billfold,4.71,Adjective
canine,4.71,Adjective
flowerbed,4.71,Adjective
soy,4.7,Adjective
bald,4.69,Adjective
lilac,4.69,Adjective
hemorrhoid,4.68,Adjective
orange,4.66,Adjective
arachnid,4.65,Adjective
underarm,4.63,Adjective
barefoot,4.62,Adjective
bearded,4.62,Adjective
thyroid,4.61,Adjective
wooden,4.61,Adjective
sleeveless,4.6,Adjective
concrete,4.59,Adjective
panty,4.59,Adjective
pregnant,4.59,Adjective
helmeted,4.58,Adjective
hula,4.58,Adjective
female,4.57,Adjective
crematory,4.56,Adjective
pigtailed,4.55,Adjective
sphincter,4.54,Adjective
backrest,4.52,Adjective
blonde,4.52,Adjective
farmhand,4.52,Adjective
fat,4.52,Adjective
hairless,4.52,Adjective
afghan,4.5,Adjective
binocular,4.5,Adjective
naked,4.5,Adjective
hairy,4.48,Adjective
saline,4.48,Adjective
sudsy,4.48,Adjective
wet,4.46,Adjective
wooded,4.46,Adjective
male,4.45,Adjective
rusted,4.44,Adjective
aquamarine,4.43,Adjective
shirtless,4.43,Adjective
headless,4.42,Adjective
solid,4.42,Adjective
